No,Name,Type1,Type2
1,Bulbasaur,Grass,Poison
2,Ivysaur,Grass,Poison
3,Venusaur,Grass,Poison
3,Mega Venusaur,Grass,Poison
4,Charmander,Fire,
5,Charmeleon,Fire,
6,Charizard,Fire,Flying
6,Mega Charizard X,Fire,Dragon
6,Mega Charizard Y,Fire,Flying
7,Squirtle,Water,
8,Wartortle,Water,
9,Blastoise,Water,
9,Mega Blastoise,Water,
10,Caterpie,Bug,
11,Metapod,Bug,
12,Butterfree,Bug,Flying
13,Weedle,Bug,Poison
14,Kakuna,Bug,Poison
15,Beedrill,Bug,Poison
15,Mega Beedrill,Bug,Poison
16,Pidgey,Normal,Flying
17,Pidgeotto,Normal,Flying
18,Pidgeot,Normal,Flying
18,Mega Pidgeot,Normal,Flying
19,Rattata,Normal,
19,Alolan Rattata,Dark,Normal
20,Raticate,Normal,
20,Alolan Raticate,Dark,Normal
21,Spearow,Normal,Flying
22,Fearow,Normal,Flying
23,Ekans,Poison,
24,Arbok,Poison,
25,Pikachu,Electric,
26,Raichu,Electric,
26,Alolan Raichu,Electric,Psychic
27,Sandshrew,Ground,
27,Alolan Sandshrew,Ice,Steel
28,Sandslash,Ground,
28,Alolan Sandslash,Ice,Steel
29,Nidoran F,Poison,
30,Nidorina,Poison,
31,Nidoqueen,Poison,Ground
32,Nidoran M,Poison,
33,Nidorino,Poison,
34,Nidoking,Poison,Ground
35,Clefairy,Fairy,
36,Clefable,Fairy,
37,Vulpix,Fire,
37,Alolan Vulpix,Ice,
38,Ninetales,Fire,
38,Alolan Ninetales,Ice,Fairy
39,Jigglypuff,Normal,Fairy
40,Wigglytuff,Normal,Fairy
41,Zubat,Poison,Flying
42,Golbat,Poison,Flying
43,Oddish,Grass,Poison
44,Gloom,Grass,Poison
45,Vileplume,Grass,Poison
46,Paras,Bug,Grass
47,Parasect,Bug,Grass
48,Venonat,Bug,Poison
49,Venomoth,Bug,Poison
50,Diglett,Ground,
50,Alolan Diglett,Ground,Steel
51,Dugtrio,Ground,
51,Alolan Dugtrio,Ground,Steel
52,Meowth,Normal,
52,Alolan Meowth,Dark,
52,Galarian Meowth,Steel,
53,Persian,Normal,
53,Alolan Persian,Dark,
54,Psyduck,Water,
55,Golduck,Water,
56,Mankey,Fighting,
57,Primeape,Fighting,
58,Growlithe,Fire,
58,Hisuian Growlithe,Fire,Rock
59,Arcanine,Fire,
59,Hisuian Arcanine,Fire,Rock
60,Poliwag,Water,
61,Poliwhirl,Water,
62,Poliwrath,Water,Fighting
63,Abra,Psychic,
64,Kadabra,Psychic,
65,Alakazam,Psychic,
65,Mega Alakazam,Psychic,
66,Machop,Fighting,
67,Machoke,Fighting,
68,Machamp,Fighting,
69,Bellsprout,Grass,Poison
70,Weepinbell,Grass,Poison
71,Victreebel,Grass,Poison
72,Tentacool,Water,Poison
73,Tentacruel,Water,Poison
74,Geodude,Rock,Ground
74,Alolan Geodude,Rock,Electric
75,Graveler,Rock,Ground
75,Alolan Graveler,Rock,Electric
76,Golem,Rock,Ground
76,Alolan Golem,Rock,Electric
77,Ponyta,Fire,
77,Galarian Ponyta,Psychic,
78,Rapidash,Fire,
78,Galarian Rapidash,Psychic,Fairy
79,Slowpoke,Water,Psychic
79,Galarian Slowpoke,Psychic,
80,Slowbro,Water,Psychic
80,Galarian Slowbro,Poison,Psychic
80,Mega Slowbro,Water,Psychic
81,Magnemite,Electric,Steel
82,Magneton,Electric,Steel
83,Farfetch'd,Normal,Flying
83,Galarian Farfetch'd,Fighting,
84,Doduo,Normal,Flying
85,Dodrio,Normal,Flying
86,Seel,Water,
87,Dewgong,Water,Ice
88,Grimer,Poison,
88,Alolan Grimer,Poison,Dark
89,Muk,Poison,
89,Alolan Muk,Poison,Dark
90,Shellder,Water,
