PokemonA,TypeA1,TypeA2,PokemonB,TypeB1,TypeB2,Winner
Bulbasaur,Grass,Poison,Cresselia,Psychic,,Cresselia
Ivysaur,Grass,Poison,Phione,Water,,Ivysaur
Venusaur,Grass,Poison,Manaphy,Water,,Venusaur
Mega Venusaur,Grass,Poison,Darkrai,Dark,,Darkrai
Charmander,Fire,,Shaymin Land Form,Grass,,Charmander
Charmeleon,Fire,,Shaymin Sky Form,Grass,Flying,Charmeleon
Charizard,Fire,Flying,Arceus,Normal,,Arceus
Mega Charizard X,Fire,Dragon,Victini,Psychic,Fire,Mega Charizard X
Mega Charizard Y,Fire,Flying,Snivy,Grass,,Mega Charizard Y
Squirtle,Water,,Servine,Grass,,Servine
Wartortle,Water,,Serperior,Grass,,Serperior
Blastoise,Water,,Tepig,Fire,,Blastoise
Mega Blastoise,Water,,Pignite,Fire,Fighting,Mega Blastoise
Caterpie,Bug,,Emboar,Fire,Fighting,Emboar
Metapod,Bug,,Oshawott,Water,,Oshawott
Butterfree,Bug,Flying,Dewott,Water,,Butterfree
Weedle,Bug,Poison,Samurott,Water,,Samurott
Kakuna,Bug,Poison,Hisuian Samurott,Water,Dark,Hisuian Samurott
Beedrill,Bug,Poison,Patrat,Normal,,Patrat
Mega Beedrill,Bug,Poison,Watchog,Normal,,Mega Beedrill
Pidgey,Normal,Flying,Lillipup,Normal,,Lillipup
Pidgeotto,Normal,Flying,Herdier,Normal,,Herdier
Pidgeot,Normal,Flying,Stoutland,Normal,,Stoutland
Mega Pidgeot,Normal,Flying,Purrloin,Dark,,Purrloin
Rattata,Normal,,Liepard,Dark,,Rattata
Alolan Rattata,Dark,Normal,Pansage,Grass,,Pansage
Raticate,Normal,,Simisage,Grass,,Raticate
Alolan Raticate,Dark,Normal,Pansear,Fire,,Pansear
Spearow,Normal,Flying,Simisear,Fire,,Spearow
Fearow,Normal,Flying,Panpour,Water,,Panpour
Ekans,Poison,,Simipour,Water,,Ekans
Arbok,Poison,,Munna,Psychic,,Arbok
Pikachu,Electric,,Musharna,Psychic,,Musharna
Raichu,Electric,,Pidove,Normal,Flying,Raichu
Alolan Raichu,Electric,Psychic,Tranquill,Normal,Flying,Alolan Raichu
Sandshrew,Ground,,Unfezant,Normal,Flying,Unfezant
Alolan Sandshrew,Ice,Steel,Blitzle,Electric,,Blitzle
Sandslash,Ground,,Zebstrika,Electric,,Sandslash
Alolan Sandslash,Ice,Steel,Roggenrola,Rock,,Roggenrola
Nidoran F,Poison,,Boldore,Rock,,Rock
Nidorina,Poison,,Gigalith,Rock,,Rock
Nidoqueen,Poison,Ground,Woobat,Psychic,Flying,Woobat
Nidoran M,Poison,,Swoobat,Psychic,Flying,Swoobat
Nidorino,Poison,,Drilbur,Ground,,Drilbur
Nidoking,Poison,Ground,Excadrill,Ground,Steel,Nidoking
Clefairy,Fairy,,Audino,Normal,,Clefairy
Clefable,Fairy,,Mega Audino,Normal,Fairy,Mega Audino
Vulpix,Fire,,Timburr,Fighting,,Timburr
Alolan Vulpix,Ice,,Gurdurr,Fighting,,Gurdurr
Ninetales,Fire,,Conkeldurr,Fighting,,Ninetales
Alolan Ninetales,Ice,Fairy,Tympole,Water,,Tympole
Jigglypuff,Normal,Fairy,Palpitoad,Water,Ground,Jigglypuff
Wigglytuff,Normal,Fairy,Seismitoad,Water,Ground,Seismitoad
Zubat,Poison,Flying,Throh,Fighting,,Zubat
Golbat,Poison,Flying,Sawk,Fighting,,Golbat
Oddish,Grass,Poison,Sewaddle,Bug,Grass,Oddish
Gloom,Grass,Poison,Swadloon,Bug,Grass,Gloom
Vileplume,Grass,Poison,Leavanny,Bug,Grass,Leavanny
Paras,Bug,Grass,Venipede,Bug,Poison,Venipede
Parasect,Bug,Grass,Whirlipede,Bug,Poison,Whirlipede
Venonat,Bug,Poison,Scolipede,Bug,Poison,Scolipede
Venomoth,Bug,Poison,Cottonee,Grass,Fairy,Venomoth
Diglett,Ground,,Whimsicott,Grass,Fairy,Whimsicott
Alolan Diglett,Ground,Steel,Petilil,Grass,,Petilil
Dugtrio,Ground,,Lilligant,Grass,,Lilligant
Alolan Dugtrio,Ground,Steel,Hisuian Lilligant,Grass,Fighting,Hisuian Lilligant
Meowth,Normal,,Basculin Red Stripe,Water,,Basculin Red Stripe
Alolan Meowth,Dark,,Basculin Blue Stripe,Water,,Basculin Blue Stripe
Galarian Meowth,Steel,,Hisuian Basculin,Water,,Galarian Meowth
Persian,Normal,,Sandile,Ground,Dark,Persian
Alolan Persian,Dark,,Krokorok,Ground,Dark,Krokorok
Psyduck,Water,,Krookodile,Ground,Dark,Psyduck
Golduck,Water,,Darumaka,Fire,,Golduck
Mankey,Fighting,,Galarian Darumaka,Ice,,Mankey
Primeape,Fighting,,Darmanitan,Fire,,Darmanitan
Growlithe,Fire,,Darmanitan Zen-Mode,Fire,Psychic,Growlithe
Hisuian Growlithe,Fire,Rock,Galarian Darmanitan,Ice,,Hisuian Growlithe
Arcanine,Fire,,Galarian Darmanitan Zen-Mode,Ice,Fire,Galarian Darmanitan Zen-Mode
Hisuian Arcanine,Fire,Rock,Maractus,Grass,,Hisuian Arcanine
Poliwag,Water,,Dwebble,Bug,Rock,Poliwag
Poliwhirl,Water,,Crustle,Bug,Rock,Poliwhirl
Poliwrath,Water,Fighting,Scraggy,Dark,Fighting,Poliwrath
Abra,Psychic,,Scrafty,Dark,Fighting,Scrafty
Kadabra,Psychic,,Sigilyph,Psychic,Flying,Sigilyph
Alakazam,Psychic,,Yamask,Ghost,,Yamask
Mega Alakazam,Psychic,,Galarian Yamask,Ground,Ghost,Galarian Yamask
Machop,Fighting,,Cofagrigus,Ghost,,Cofagrigus
Machoke,Fighting,,Tirtouga,Water,Rock,Machoke
Machamp,Fighting,,Carracosta,Water,Rock,Machamp
Bellsprout,Grass,Poison,Archen,Rock,Flying,Archen
Weepinbell,Grass,Poison,Archeops,Rock,Flying,Archeops
Victreebel,Grass,Poison,Trubbish,Poison,,Trubbish
Tentacool,Water,Poison,Garbodor,Poison,,Tentacool
Tentacruel,Water,Poison,Zorua,Dark,,Zorua
Geodude,Rock,Ground,Hisuian Zorua,Normal,Ghost,Geodude
Alolan Geodude,Rock,Electric,Zoroark,Dark,,Alolan Geodude
Graveler,Rock,Ground,Hisuian Zoroark,Normal,Ghost,Graveler
Alolan Graveler,Rock,Electric,Minccino,Normal,,Alolan Graveler
Golem,Rock,Ground,Cinccino,Normal,,Golem
Alolan Golem,Rock,Electric,Gothita,Psychic,,
Ponyta,Fire,,Gothorita,Psychic,,
Galarian Ponyta,Psychic,,Gothitelle,Psychic,,
Rapidash,Fire,,Solosis,Psychic,,
Galarian Rapidash,Psychic,Fairy,Duosion,Psychic,,
Slowpoke,Water,Psychic,Reuniclus,Psychic,,
Galarian Slowpoke,Psychic,,Ducklett,Water,Flying,
Slowbro,Water,Psychic,Swanna,Water,Flying,
Galarian Slowbro,Poison,Psychic,Vanillite,Ice,,
Mega Slowbro,Water,Psychic,Vanillish,Ice,,
Magnemite,Electric,Steel,Vanilluxe,Ice,,
Magneton,Electric,Steel,Deerling Spring Form,Normal,Grass,
Farfetch'd,Normal,Flying,Deerling Summer Form,Normal,Grass,
Galarian Farfetch'd,Fighting,,Deerling Autumn Form,Normal,Grass,
Doduo,Normal,Flying,Deerling Winter Form,Normal,Grass,
Dodrio,Normal,Flying,Sawsbuck,Normal,Grass,
Seel,Water,,Emolga,Electric,Flying,
Dewgong,Water,Ice,Karrablast,Bug,,
Grimer,Poison,,Escavalier,Bug,Steel,
Alolan Grimer,Poison,Dark,Foongus,Grass,Poison,
Muk,Poison,,Amoonguss,Grass,Poison,
Alolan Muk,Poison,Dark,Frillish,Water,Ghost,
Shellder,Water,,Jellicent,Water,Ghost,
Cloyster,Water,Ice,Alomomola,Water,,
Gastly,Ghost,Poison,Joltik,Bug,Electric,
Haunter,Ghost,Poison,Galvantula,Bug,Electric,
Gengar,Ghost,Poison,Ferroseed,Grass,Steel,
Mega Gengar,Ghost,Poison,Ferrothorn,Grass,Steel,
Onix,Rock,Ground,Klink,Steel,,
Drowzee,Psychic,,Klang,Steel,,
Hypno,Psychic,,Klinklang,Steel,,
Krabby,Water,,Tynamo,Electric,,
Kingler,Water,,Eelektrik,Electric,,
Voltorb,Electric,,Eelektross,Electric,,
Hisuian Voltorb,Electric,Grass,Elgyem,Psychic,,
Electrode,Electric,,Beheeyem,Psychic,,
